"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"UPL","EQ","03-Jul-2017","        840.40","        841.00","        859.00","        841.00","        858.50","        856.10","        854.08","    1037822","           886378654.10","      24444","     608211","         58.60"
"UPL","Q1","03-Jul-2017","         17.90","         17.60","         17.60","         17.60","         17.60","         17.60","         17.60","        600","               10560.00","          1","        600","        100.00"
"UPL","EQ","04-Jul-2017","        856.10","        860.70","        860.70","        845.00","        850.00","        847.70","        850.23","     562771","           478485299.80","      14613","     294831","         52.39"
"UPL","EQ","05-Jul-2017","        847.70","        847.70","        856.85","        846.10","        853.90","        853.55","        851.59","     586392","           499363087.50","      13387","     229521","         39.14"
"UPL","Q1","05-Jul-2017","         17.60","         17.50","         17.50","         17.50","         17.50","         17.50","         17.50","        100","                1750.00","          1","        100","        100.00"
"UPL","EQ","06-Jul-2017","        853.55","        853.10","        856.05","        843.10","        843.60","        849.75","        850.20","     933551","           793704213.20","      18770","     583656","         62.52"
"UPL","Q1","06-Jul-2017","         17.50","         17.10","         18.35","         17.10","         18.35","         18.35","         17.83","     150000","             2675000.00","          3","          0","          0.00"
"UPL","EQ","07-Jul-2017","        849.75","        845.35","        851.85","        840.75","        851.00","        849.40","        846.65","     695738","           589045550.00","      28080","     442783","         63.64"
"UPL","Q1","07-Jul-2017","         18.35","         17.50","         17.50","         17.50","         17.50","         17.50","         17.50","      47103","              824302.50","          2","      47103","        100.00"
"UPL","EQ","10-Jul-2017","        849.40","        861.85","        861.85","        848.00","        852.00","        850.80","        850.51","     131388","           111747261.95","       1713","      81845","         62.29"
"UPL","Q1","10-Jul-2017","         17.50","         17.45","         17.45","         17.25","         17.25","         17.25","         17.30","        697","               12056.25","          3","        697","        100.00"
"UPL","EQ","11-Jul-2017","        850.80","        849.55","        864.00","        849.05","        852.95","        853.90","        857.69","    1101137","           944435371.55","      24385","     501341","         45.53"
"UPL","Q1","11-Jul-2017","         17.25","         17.75","         18.40","         17.00","         17.60","         17.60","         17.75","      95277","             1691100.25","          9","      48177","         50.57"
"UPL","EQ","12-Jul-2017","        853.90","        852.20","        874.90","        852.20","        865.80","        864.40","        866.55","    1863453","          1614776368.75","      32799","     875958","         47.01"
"UPL","EQ","13-Jul-2017","        864.40","        868.00","        873.90","        859.05","        864.50","        864.85","        867.06","    1616447","          1401549135.55","      37173","     900289","         55.70"
"UPL","EQ","14-Jul-2017","        864.85","        862.70","        876.85","        857.05","        865.90","        863.20","        866.01","     820278","           710372967.00","      20668","     336717","         41.05"
"UPL","EQ","17-Jul-2017","        863.20","        866.00","        871.75","        858.00","        862.00","        864.10","        864.17","     434613","           375578585.70","      18350","     233765","         53.79"
"UPL","Q1","17-Jul-2017","         17.60","         18.20","         18.20","         18.20","         18.20","         18.20","         18.20","       2650","               48230.00","          1","       2650","        100.00"
"UPL","Q2","17-Jul-2017","         16.50","         14.85","         14.85","         14.85","         14.85","         14.85","         14.85","         39","                 579.15","          1","         39","        100.00"
"UPL","EQ","18-Jul-2017","        864.10","        857.10","        868.50","        852.95","        853.60","        856.50","        860.36","    1036076","           891399677.30","      25195","     788157","         76.07"
"UPL","EQ","19-Jul-2017","        856.50","        857.60","        863.00","        854.10","        858.00","        859.10","        858.28","     692901","           594702418.45","      29562","     436095","         62.94"
"UPL","EQ","20-Jul-2017","        859.10","        859.95","        862.65","        854.55","        856.00","        855.95","        857.23","     473535","           405927510.75","      19422","     299458","         63.24"
"UPL","Q1","20-Jul-2017","         18.20","         18.00","         18.00","         18.00","         18.00","         18.00","         18.00","        227","                4086.00","          2","        227","        100.00"
"UPL","EQ","21-Jul-2017","        855.95","        855.95","        867.75","        854.85","        861.00","        863.20","        863.34","    1233955","          1065325990.90","      19129","     816320","         66.15"
"UPL","Q1","21-Jul-2017","         18.00","         18.00","         18.00","         18.00","         18.00","         18.00","         18.00","        960","               17280.00","          3","        960","        100.00"
"UPL","EQ","24-Jul-2017","        863.20","        861.25","        873.65","        857.90","        869.95","        867.90","        868.61","     937014","           813898768.25","      23511","     536059","         57.21"
"UPL","Q1","24-Jul-2017","         18.00","         18.00","         19.10","         18.00","         18.95","         18.95","         18.91","       5419","              102493.30","         11","       4693","         86.60"
"UPL","EQ","25-Jul-2017","        867.90","        870.00","        892.30","        868.40","        885.00","        883.85","        883.40","    2813173","          2485151261.25","      71832","    1115726","         39.66"
"UPL","EQ","26-Jul-2017","        883.85","        885.00","        900.00","        870.85","        874.90","        873.30","        888.95","    2973483","          2643279240.50","      44680","    1293026","         43.49"
"UPL","Q1","26-Jul-2017","         18.95","         18.50","         19.50","         18.00","         19.50","         19.50","         18.75","     300270","             5629995.00","         62","      51920","         17.29"
"UPL","EQ","27-Jul-2017","        873.30","        877.00","        882.30","        865.00","        866.70","        868.60","        872.47","     912243","           795907213.65","      24023","     534734","         58.62"
"UPL","Q1","27-Jul-2017","         19.50","         17.60","         17.60","         17.60","         17.60","         17.60","         17.60","        465","                8184.00","          2","        465","        100.00"
"UPL","EQ","28-Jul-2017","        868.60","        858.55","        875.95","        858.55","        868.45","        868.50","        866.74","     656899","           569359317.90","      20712","     368847","         56.15"
"UPL","Q1","28-Jul-2017","         17.60","         16.00","         18.15","         16.00","         18.15","         18.15","         18.08","      15667","              283252.55","          4","      15622","         99.71"
"UPL","EQ","31-Jul-2017","        868.50","        870.20","        888.60","        867.60","        875.40","        877.15","        877.28","    2020713","          1772739816.00","      51211","     599809","         29.68"
"UPL","Q1","31-Jul-2017","         18.15","         18.20","         18.20","         18.20","         18.20","         18.20","         18.20","        150","                2730.00","          1","        150","        100.00"
"UPL","EQ","01-Aug-2017","        877.15","        879.80","        902.50","        875.75","        895.00","        894.10","        893.18","    1702074","          1520252423.30","      43431","     612391","         35.98"
"UPL","Q1","01-Aug-2017","         18.20","         20.00","         20.00","         20.00","         20.00","         20.00","         20.00","        354","                7080.00","          1","        354","        100.00"
"UPL","EQ","02-Aug-2017","        894.10","        897.90","        901.00","        886.10","        887.80","        889.00","        890.90","     951400","           847600684.85","      33888","     533749","         56.10"
"UPL","EQ","03-Aug-2017","        889.00","        890.50","        896.95","        878.05","        882.90","        880.75","        886.26","     947932","           840118442.75","      25163","     587145","         61.94"
"UPL","Q1","03-Aug-2017","         20.00","         17.55","         18.50","         17.55","         17.60","         17.60","         17.96","        408","                7326.00","          5","        288","         70.59"
"UPL","EQ","04-Aug-2017","        880.75","        884.00","        888.90","        878.60","        887.00","        887.05","        884.70","     783711","           693351297.75","      19460","     356757","         45.52"
"UPL","Q1","04-Aug-2017","         17.60","         19.00","         19.00","         18.00","         18.00","         18.00","         18.74","         42","                 787.00","          3","         42","        100.00"
"UPL","EQ","07-Aug-2017","        887.05","        888.00","        893.95","        873.10","        879.45","        877.65","        880.70","     664918","           585595265.60","      39013","     313091","         47.09"
"UPL","Q1","07-Aug-2017","         18.00","         18.00","         18.00","         17.05","         17.10","         17.10","         17.54","        120","                2104.50","          4","         60","         50.00"
"UPL","EQ","08-Aug-2017","        877.65","        882.90","        883.00","        860.70","        863.50","        863.35","        870.36","     660740","           575078410.85","      18671","     384512","         58.19"
"UPL","Q1","08-Aug-2017","         17.10","         18.50","         18.50","         18.50","         18.50","         18.50","         18.50","        400","                7400.00","          1","        400","        100.00"
"UPL","EQ","09-Aug-2017","        863.35","        862.00","        862.95","        822.05","        833.00","        830.50","        843.82","    1211850","          1022585837.10","      44728","     725446","         59.86"
"UPL","Q1","09-Aug-2017","         18.50","         17.20","         17.20","         17.20","         17.20","         17.20","         17.20","        720","               12384.00","          4","        720","        100.00"
"UPL","EQ","10-Aug-2017","        830.50","        832.90","        839.40","        789.00","        825.00","        821.50","        825.98","    1278567","          1056066248.55","      23747","     804307","         62.91"
"UPL","EQ","11-Aug-2017","        821.50","        815.00","        829.75","        794.60","        813.00","        811.35","        813.36","    1259736","          1024620492.10","      42222","     750469","         59.57"
"UPL","EQ","14-Aug-2017","        811.35","        815.10","        865.05","        815.10","        859.35","        858.45","        850.29","    1013700","           861934518.70","      38433","     517006","         51.00"
"UPL","Q1","14-Aug-2017","         17.20","         17.00","         17.50","         16.00","         17.50","         17.50","         17.00","      56712","              964056.00","          3","      56616","         99.83"
"UPL","EQ","16-Aug-2017","        858.45","        858.45","        879.55","        849.25","        849.95","        852.10","        858.79","    1197405","          1028314556.70","      50494","     785525","         65.60"
"UPL","EQ","17-Aug-2017","        852.10","        858.00","        864.75","        846.00","        854.25","        855.25","        854.54","     886995","           757970196.25","      34056","     461475","         52.03"
"UPL","Q1","17-Aug-2017","         17.50","         16.75","         16.75","         16.75","         16.75","         16.75","         16.75","         90","                1507.50","          1","         90","        100.00"
"UPL","EQ","18-Aug-2017","        855.25","        853.20","        859.00","        841.80","        845.50","        844.95","        848.84","     604126","           512804550.25","      19951","     289381","         47.90"
"UPL","EQ","21-Aug-2017","        844.95","        848.90","        852.90","        805.00","        808.00","        810.75","        829.78","    1405283","          1166080796.05","      30802","     867698","         61.75"
"UPL","EQ","22-Aug-2017","        810.75","        812.50","        826.50","        793.00","        800.00","        796.55","        804.68","    1340235","          1078454150.90","      44758","     784554","         58.54"
"UPL","EQ","23-Aug-2017","        796.55","        803.00","        816.70","        801.45","        816.00","        814.10","        808.02","     772199","           623952313.75","      34846","     421986","         54.65"
"UPL","EQ","24-Aug-2017","        814.10","        821.90","        837.00","        810.85","        832.80","        833.10","        825.88","     879641","           726481109.35","      29367","     329072","         37.41"
"UPL","Q1","24-Aug-2017","         16.75","         16.75","         18.40","         16.75","         18.40","         18.40","         17.58","        200","                3515.00","          2","        100","         50.00"
"UPL","EQ","28-Aug-2017","        833.10","        835.75","        842.70","        827.55","        837.50","        839.10","        835.45","     730266","           610100326.55","      43697","     371142","         50.82"
"UPL","Q1","28-Aug-2017","         18.40","         17.00","         17.00","         17.00","         17.00","         17.00","         17.00","        240","                4080.00","          2","        240","        100.00"
"UPL","EQ","29-Aug-2017","        839.10","        848.00","        856.25","        835.40","        838.00","        840.15","        844.47","    1066800","           900875885.65","      34259","     337379","         31.63"
"UPL","EQ","30-Aug-2017","        840.15","        845.90","        846.90","        838.10","        839.25","        839.85","        841.16","    1179595","           992231930.70","      37188","     907907","         76.97"
