"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"JSWSTEEL","EQ","02-Jan-2017","       1627.50","       1628.00","       1641.85","       1610.10","       1630.85","       1634.30","       1628.29","     462136","           752491740.35","      14453","      49943","         10.81"
"JSWSTEEL","P2","02-Jan-2017","          8.00","          7.95","          8.05","          7.95","          7.95","          7.95","          7.98","       2032","               16206.20","         12","       1584","         77.95"
"JSWSTEEL","EQ","03-Jan-2017","       1634.30","       1641.00","       1653.60","       1631.00","       1644.80","       1644.55","       1644.04","     453049","           744831712.90","      13295","      67868","         14.98"
"JSWSTEEL","P2","03-Jan-2017","          7.95","          7.95","          8.05","          7.95","          8.00","          8.00","          8.01","      10495","               84100.00","         17","      10295","         98.09"
"JSWSTEEL","EQ","04-Jan-2017","       1644.55","        166.75","        166.75","        160.60","        162.95","        163.05","        163.95","    2378943","           390037012.10","      19801","     673098","         28.29"
"JSWSTEEL","P2","04-Jan-2017","          8.00","          7.95","          8.05","          7.95","          7.95","          7.95","          7.97","       1595","               12706.85","         15","       1442","         90.41"
"JSWSTEEL","EQ","05-Jan-2017","        163.05","        164.05","        176.65","        163.50","        175.90","        175.65","        171.77","    6510132","          1118261419.65","      61336","    1293764","         19.87"
"JSWSTEEL","P2","05-Jan-2017","          7.95","          7.95","          8.00","          7.95","          8.00","          8.00","          8.00","       4422","               35364.00","         11","       4182","         94.57"
"JSWSTEEL","EQ","06-Jan-2017","        175.65","        177.35","        178.80","        172.75","        176.90","        175.20","        175.90","    5500626","           967564314.60","      33187","     872230","         15.86"
"JSWSTEEL","P2","06-Jan-2017","          8.00","          8.00","          8.05","          8.00","          8.00","          8.00","          8.00","       9188","               73509.00","         15","       9188","        100.00"
"JSWSTEEL","EQ","09-Jan-2017","        175.20","        176.50","        179.30","        174.60","        176.20","        176.05","        177.10","    2997673","           530891932.90","      26068","     595364","         19.86"
"JSWSTEEL","P2","09-Jan-2017","          8.00","          8.00","          8.00","          8.00","          8.00","          8.00","          8.00","      22234","              177872.00","         22","      22234","        100.00"
"JSWSTEEL","EQ","10-Jan-2017","        176.05","        176.50","        179.50","        173.60","        178.80","        178.45","        176.86","    3701710","           654696974.50","      34832","    1253228","         33.86"
"JSWSTEEL","P2","10-Jan-2017","          8.00","          8.00","          8.00","          8.00","          8.00","          8.00","          8.00","       8340","               66720.00","         12","       8340","        100.00"
"JSWSTEEL","EQ","11-Jan-2017","        178.45","        179.30","        195.40","        179.00","        187.10","        187.55","        189.65","   19588062","          3714924134.95","     104524","    4092090","         20.89"
"JSWSTEEL","P2","11-Jan-2017","          8.00","          8.05","          8.05","          8.00","          8.00","          8.00","          8.01","       8838","               70804.55","         25","       6837","         77.36"
"JSWSTEEL","EQ","12-Jan-2017","        187.55","        188.25","        190.70","        184.20","        188.45","        188.50","        187.78","    6001012","          1126855171.00","      48419","    1185757","         19.76"
"JSWSTEEL","P2","12-Jan-2017","          8.00","          8.05","          8.05","          8.00","          8.00","          8.00","          8.02","      13708","              109964.00","         16","       8708","         63.52"
"JSWSTEEL","EQ","13-Jan-2017","        188.50","        189.50","        191.10","        185.10","        190.00","        188.90","        188.50","    5494453","          1035724519.95","      47545","     975391","         17.75"
