"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"GTPL","EQ","04-Jul-2017","        170.00","        170.00","        175.00","        162.00","        171.95","        171.65","        170.71","   14138363","          2413607113.85","      96461","    5217073","         36.90"
"GTPL","EQ","05-Jul-2017","        171.65","        170.20","        172.30","        167.30","        170.50","        169.90","        170.04","     779615","           132562581.15","      10014","     213447","         27.38"
"GTPL","EQ","06-Jul-2017","        169.90","        171.00","        176.00","        168.35","        170.00","        171.75","        173.33","    1181250","           204741481.45","      11767","     514139","         43.52"
"GTPL","EQ","07-Jul-2017","        171.75","        172.00","        183.25","        168.00","        178.05","        179.20","        177.35","    3137606","           556453868.10","      27238","     890057","         28.37"
"GTPL","EQ","10-Jul-2017","        179.20","        180.00","        198.10","        175.00","        183.15","        183.20","        182.47","     607766","           110901130.40","       5464","     348074","         57.27"
"GTPL","EQ","11-Jul-2017","        183.20","        183.50","        190.45","        176.30","        177.45","        177.35","        185.09","    1780195","           329494761.70","      20735","     613956","         34.49"
"GTPL","EQ","12-Jul-2017","        177.35","        179.15","        183.90","        178.00","        180.70","        180.75","        180.49","     838264","           151301148.25","      17335","     326905","         39.00"
"GTPL","EQ","13-Jul-2017","        180.75","        182.40","        185.50","        178.50","        179.30","        180.10","        181.37","     907601","           164611823.50","      13067","     367671","         40.51"
"GTPL","EQ","14-Jul-2017","        180.10","        181.00","        184.90","        164.05","        170.05","        170.80","        174.23","    1203937","           209761024.80","      13790","     417716","         34.70"
"GTPL","EQ","17-Jul-2017","        170.80","        171.10","        174.00","        169.10","        169.85","        170.00","        171.48","     302605","            51889398.40","       4090","     107097","         35.39"
"GTPL","EQ","18-Jul-2017","        170.00","        169.10","        171.95","        166.20","        168.00","        167.15","        169.05","     188357","            31842438.10","       2782","      79616","         42.27"
"GTPL","EQ","19-Jul-2017","        167.15","        168.15","        170.00","        167.20","        167.95","        168.05","        168.83","     114062","            19257211.05","       1698","      61769","         54.15"
"GTPL","EQ","20-Jul-2017","        168.05","        169.40","        169.80","        165.05","        165.40","        166.60","        167.55","     194347","            32563363.60","       3715","      67353","         34.66"
"GTPL","EQ","21-Jul-2017","        166.60","        165.20","        168.95","        163.00","        163.00","        163.40","        164.89","     298067","            49147700.25","       4215","     131506","         44.12"
"GTPL","EQ","24-Jul-2017","        163.40","        163.30","        164.45","        155.65","        156.50","        156.80","        158.81","     203695","            32349399.90","       3607","     109748","         53.88"
